Customer,SP,Sales_2024,INCI,Sales_Product,Composition,Demand_2025,number_of_beauty_care_products_launched,Category,Sales_Demand_Ratio,Category_Sales_Ratio,Log_Sales_2024
Customer SA,30527819.0,0.3,cetyl palmitate,CUTINA CP,Cetyl Palmitate,2960.106824925816,1.0,Emollient,0.00010131346747597187,1836072.6017168344,0.26236426446749106
Customer SA,30528219.0,0.3,cetearyl alcohol,LANETTE D,Cetearyl Alcohol,649.0,18.0,Emollient,0.00046153846153846153,1836072.6017168344,0.26236426446749106
Customer Asia,30660124.0,0.4,ceteareth-12,EUMULGIN B 1,Ceteareth-12,553.0,2.0,Emulsifier,0.0007220216606498196,233350.64713830905,0.33647223662121295
Customer EMEA,30718341.0,0.4,glycol distearate,CEGESOFT PEEL,Glycol Distearate,310.0,9.0,Emollient,0.0012861736334405145,1377054.4512876256,0.33647223662121295
Customer EMEA,30785341.0,0.4,12-15 alkyl benzoate,CETIOL ABV,C12-15 Alkyl Benzoate,,,Emollient,,1377054.4512876256,0.33647223662121295
Customer EMEA,30785341.0,0.4,c12-15 alkyl benzoate,CETIOL ABV,C12-15 Alkyl Benzoate,1170.0,39.0,Emollient,0.0003415883859948762,1377054.4512876256,0.33647223662121295
Customer SA,30035119.0,0.4,ethylhexyl triazone,UVINUL T 150,Ethylhexyl Triazone,170.0,1.0,UV Filter,0.0023391812865497076,144064.1369480091,0.33647223662121295
Customer SA,30527767.0,0.4,hydrogenated palm glycerides,MONOMULS 60-35 C,Hydrogenated Palm Glycerides,2960.106824925816,3.0,Emollient,0.00013508462330129583,1377054.4512876256,0.33647223662121295
Customer SA,30527768.0,0.4,glyceryl laurate,MONOMULS 90-L 12,Glyceryl Laurate,2960.106824925816,2.0,Emulsifier,0.00013508462330129583,233350.64713830905,0.33647223662121295
Customer SA,30530625.0,0.4,behenyl alcohol,LANETTE 22,Behenyl Alcohol,2960.106824925816,1.0,Emollient,0.00013508462330129583,1377054.4512876256,0.33647223662121295
Customer SA,30537146.0,0.4,hydralyzed wheat protein,GLUADIN WLM BENZ,Hydrolyzed Wheat Protein,,,Hair Conditioner,,63894.84748550062,0.33647223662121295
Customer SA,30537146.0,0.4,hydrolyzed wheat protein,GLUADIN WLM BENZ,Hydrolyzed Wheat Protein,300.0,1.0,Hair Conditioner,0.00132890365448505,63894.84748550062,0.33647223662121295
Customer SA,30718341.0,0.4,glycol distearate,CEGESOFT PEEL,Glycol Distearate,6992.0,18.0,Emollient,5.7200057200057206e-05,1377054.4512876256,0.33647223662121295
Customer NA,30530125.0,0.4,candelilla cera,CEGESOFT VP,Candelilla Cera (and) Hydrogenated Vegetable Oil (and) Olus Oil,2960.106824925816,2.0,Actives,0.00013508462330129583,24185.40156926407,0.33647223662121295
Customer NA,30530125.0,0.4,hydrogenated vegetable oil,CEGESOFT VP,Candelilla Cera (and) Hydrogenated Vegetable Oil (and) Olus Oil,3775.0,79.0,Emollient,0.00010593220338983052,1377054.4512876256,0.33647223662121295
Customer NA,30530125.0,0.4,olus oil,CEGESOFT VP,Candelilla Cera (and) Hydrogenated Vegetable Oil (and) Olus Oil,2960.106824925816,2.0,Emollient,0.00013508462330129583,1377054.4512876256,0.33647223662121295
Customer NA,30635798.0,0.4,hydrolyzed vegetable protein,GLUADIN KERA-P LM,Hydrolyzed Vegetable Protein,2960.106824925816,1.0,Hair Conditioner,0.00013508462330129583,63894.84748550062,0.33647223662121295
Customer Asia,30035035.0,0.5,acrylate copolymer,LUVIMER 100 P,Acrylates Copolymer,,,Film Former,,53403.71554032189,0.4054651081081644
Customer Asia,30035035.0,0.5,acrylates copolymer,LUVIMER 100 P,Acrylates Copolymer,1539.0,126.0,Film Former,0.0003246753246753247,53403.71554032189,0.4054651081081644
Customer Asia,30054531.0,0.5,polyvinylcaprolactam,LUVISKOL PLUS,Polyvinylcaprolactam,2960.106824925816,1.0,Film Former,0.00016885577912661978,53403.71554032189,0.4054651081081644
Customer Asia,30517297.0,0.5,dilauryl thiodipropionate,TINOGARD DA,Dilauryl Thiodipropionate,2960.106824925816,31.0,Antioxidant,0.00016885577912661978,6468.845047175047,0.4054651081081644
Customer Asia,30527797.0,0.5,polysorbate 20,EUMULGIN SML 20,Polysorbate-20,2960.106824925816,91.0,Emulsifier,0.00016885577912661978,186680.51771064725,0.4054651081081644
Customer Asia,30527797.0,0.5,polysorbate-20,EUMULGIN SML 20,Polysorbate-20,,,Emulsifier,,186680.51771064725,0.4054651081081644
Customer Asia,30532235.0,0.5,peg- 6 caprylic/capric glycerides,CETIOL 767,PEG-6 Caprylic/Capric Glycerides,,,Emollient,,1101643.5610301006,0.4054651081081644
Customer Asia,30532235.0,0.5,peg-6 caprylic/capric glycerides,CETIOL 767,PEG-6 Caprylic/Capric Glycerides,2960.106824925816,1.0,Emollient,0.00016885577912661978,1101643.5610301006,0.4054651081081644
Customer Asia,30533542.0,0.5,polyacrylamidomethylpropane sulfonic acid,RHEOCARE HSP-1180,Polyacrylamidomethylpropane Sulfonic Acid,620.0,1.0,Thickener,0.0008051529790660225,3585.4219047619044,0.4054651081081644
